di  6 jun 2017 22:59:12 CEST									
									
**Summary Stats**									
Annotation:	VDAG_Jr2_Annotation.v5.gtf								
Predictions:             	augustus.gtf	braker.gtf	BAP.gtf   	BAplus.gtf	genemark.noF.gtf	genemark.F.gtf			
									
Gene Sensitivity         	47.86%	50.76%	52.55%	56.42%	42.41%	47.37%			
Gene Specificity         	53.04%	60.28%	57.10%	63.02%	50.75%	54.26%			
Transcript Sensitivity   	47.81%	50.72%	52.49%	56.38%	42.38%	47.33%			
Transcript Specificity   	53.04%	59.13%	57.10%	63.02%	50.75%	54.26%			
Exon Sensitivity         	67.21%	70.15%	71.94%	73.55%	62.25%	67.08%			
Exon Specificity         	66.96%	72.86%	69.99%	75.33%	64.65%	68.53%			
Nucleotide Sensitivity   	97.68%	94.91%	97.30%	96.56%	95.73%	95.67%			
Nucleotide Specificity   	95.78%	97.08%	96.35%	96.99%	96.67%	96.84%			
									
**General Stats**									
Predictions:									
		                         	VDAG_Jr2_Annotation.v5.gtf	augustus.gtf	braker.gtf	BAP.gtf   	BAplus.gtf	genemark.noF.gtf	genemark.F.gtf
Gene									
	All                      								
		Count                    	11426	10311	9622	10515	10230	9549	9976
		Total Transcripts        	11438	10311	9809	10515	10230	9549	9976
		Transcripts Per          	1	1	1.02	1	1	1	1
Transcript									
	All                      								
		Count                    	11438	10311	9809	10515	10230	9549	9976
		Average Length           	2020.98	1767.02	1691.85	1689.82	1639.42	1882.73	1699.93
		Median Length            	1752	1450	1407	1400	1371	1464	1393
		Total Length             	23115957	18219758	16595361	17768497	16771269	17978182	16958465
		Average Coding Length    	1371	1599.46	1503.73	1529.53	1502.52	1574.03	1495.5
		Median Coding Length     	1137	1317	1257	1263	1251	1296	1245
		Total Coding Length      	15681512	16492067	14750108	16082994	15370746	15030432	14919127
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
		Ave Exons Per            	2.46	2.74	2.78	2.75	2.69	2.84	2.76
		Med Exons Per            	2	2	2	2	2	2	2
		Total Exons              	28158	28247	27279	28927	27476	27096	27546
	Complete                 								
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Coding Length    	0	0	0	0	0	0	0
		Median Coding Length     	0	0	0	0	0	0	0
		Total Coding Length      	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
		Ave Exons Per            	0	0	0	0	0	0	0
		Med Exons Per            	0	0	0	0	0	0	0
		Total Exons              	0	0	0	0	0	0	0
	Incomplete               								
		Count                    	11438	10311	9809	10515	10230	9549	9976
		Average Length           	2020.98	1767.02	1691.85	1689.82	1639.42	1882.73	1699.93
		Median Length            	1752	1450	1407	1400	1371	1464	1393
		Total Length             	23115957	18219758	16595361	17768497	16771269	17978182	16958465
		Average Coding Length    	1371	1599.46	1503.73	1529.53	1502.52	1574.03	1495.5
		Median Coding Length     	1137	1317	1257	1263	1251	1296	1245
		Total Coding Length      	15681512	16492067	14750108	16082994	15370746	15030432	14919127
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
		Ave Exons Per            	2.46	2.74	2.78	2.75	2.69	2.84	2.76
		Med Exons Per            	2	2	2	2	2	2	2
		Total Exons              	28158	28247	27279	28927	27476	27096	27546
	Single Exon              								
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Coding Length    	0	0	0	0	0	0	0
		Median Coding Length     	0	0	0	0	0	0	0
		Total Coding Length      	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
		Ave Exons Per            	0	0	0	0	0	0	0
		Med Exons Per            	0	0	0	0	0	0	0
		Total Exons              	0	0	0	0	0	0	0
Exon									
	All                      								
		Count                    	28142	28247	27095	28927	27476	27096	27546
		Average Length           	557.03	583.85	541.97	555.99	559.42	554.71	541.61
		Median Length            	313	324	286	303	300	303	286
		Total Length             	15676005	16492067	14684670	16082994	15370746	15030432	14919127
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	Initial                  								
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	Internal                 								
		Count                    	28142	28247	27095	28927	27476	27096	27546
		Average Length           	557.03	583.85	541.97	555.99	559.42	554.71	541.61
		Median Length            	313	324	286	303	300	303	286
		Total Length             	15676005	16492067	14684670	16082994	15370746	15030432	14919127
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	Terminal                 								
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	Single                   								
		Count                    	0	0	0	0	0	0	0
		Average Length           	0	0	0	0	0	0	0
		Median Length            	0	0	0	0	0	0	0
		Total Length             	0	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	UTR3                     								
		Count                    	10688	0	0	0	0	0	0
		Average Length           	257.96	0	0	0	0	0	0
		Median Length            	186	0	0	0	0	0	0
		Total Length             	2757034	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	UTR5                     								
		Count                    	11700	0	0	0	0	0	0
		Average Length           	270.61	0	0	0	0	0	0
		Median Length            	184	0	0	0	0	0	0
		Total Length             	3166087	0	0	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	Intron                   								
		Count                    	16705	17936	17333	18412	17246	17547	17570
		Average Length           	80.02	96.33	105.34	91.54	81.21	167.99	116.07
		Median Length            	61	61	61	61	61	62	61
		Total Length             	1336651	1727691	1825839	1685503	1400523	2947750	2039338
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	InframeOptional          								
		Count                    	0	0	2	0	0	0	0
		Average Length           	0	0	91.5	0	0	0	0
		Median Length            	0	0	117	0	0	0	0
		Total Length             	0	0	183	0	0	0	0
		Average Score            	0	0	0	0	0	0	0
		Total Score              	0	0	0	0	0	0	0
	FrameshiftOptional       								
