annot,Count                    ,Exact Pred Count         ,Exact Specificity        ,Exact Sensitivity        ,accuracy,genome,pipeline,intron match ,intron pred,intron RNA,sens_intro,spe_intro,acc_intro
BAP.FGS.gtf,10404,5791,0.5566,0.5070,0.5318,f,b,12846,18462,18574,69.58076048,69.16119307,69.37097677
BAP.FGS_Br.gtf,9607,5652,0.5883,0.4950,0.5417,f,b,13379,16969,18574,78.84377394,72.03079574,75.43728484
BAP.FGS_Br_Fu.gtf,9804,5827,0.5943,0.5103,0.5523,f,b,13611,17348,18574,78.45861194,73.27985356,75.86923275
BAP.FGS_Fu.gtf,10515,5997,0.5703,0.5251,0.5477,f,b,13128,18412,18574,71.30132522,70.67944438,70.9903848
BAP.MGS.gtf,9872,4693,0.4754,0.4107,0.4431,m,b,12548,19529,18574,64.25316196,67.55679983,65.9049809
BAP.MGS_Br.gtf,9210,4030,0.4376,0.3532,0.3954,m,b,13094,18920,18574,69.20718816,70.49639281,69.85179048
BAP.MGS_Br_Fu.gtf,9297,4110,0.4421,0.3601,0.4011,m,b,13177,18884,18574,69.77864859,70.94325401,70.3609513
BAP.MGS_Fu.gtf,10026,4841,0.4828,0.4241,0.4535,m,b,12843,19543,18574,65.71662488,69.14504146,67.43083317
BAP.pMGS.gtf,10042,5704,0.5680,0.4993,0.5337,p,b,12760,18022,18574,70.80235268,68.69818025,69.75026647
BAP.pMGS_Br.gtf,9350,5604,0.5994,0.4908,0.5451,p,b,13343,16818,18574,79.33761446,71.83697642,75.58729544
BAP.pMGS_Br_Fu.gtf,9432,5708,0.6052,0.5000,0.5526,p,b,13437,16810,18574,79.93456276,72.34306019,76.13881148
BAP.pMGS_Fu.gtf,10198,5953,0.5837,0.5212,0.5525,p,b,13044,18008,18574,72.43447357,70.22719931,71.33083644
FGnS.gtf  ,11703,6428,0.5493,0.5585,0.5539,f,l,13854,18778,18574,73.77782511,74.58813395,74.18297953
FGnS_Br.gtf,11294,6189,0.5480,0.5377,0.5429,f,l,13656,18253,18574,74.81509889,73.52212771,74.1686133
FGnS_Br_Fu.gtf,11418,6288,0.5507,0.5463,0.5485,f,l,13817,18302,18574,75.49448148,74.38893076,74.94170612
FGnS_Fu.gtf,10750,6558,0.6100,0.5729,0.5915,f,l,13782,17921,18574,76.90419061,74.20049532,75.55234297
FGS.gtf   ,10262,6426,0.6262,0.5628,0.5945,f,l,13653,17792,18574,76.73673561,73.5059761,75.12135585
FGS_Br.gtf,9789,6175,0.6308,0.5408,0.5858,f,l,13349,17126,18574,77.94581338,71.86927964,74.90754651
FGS_Br_Fu.gtf,9930,6292,0.6336,0.5510,0.5923,f,l,13518,17206,18574,78.56561665,72.77915366,75.67238515
FGS_Fu.gtf,10390,6563,0.6317,0.5747,0.6032,f,l,13780,17679,18574,77.94558516,74.18972758,76.06765637
MGnS.gtf  ,10960,4773,0.4355,0.4142,0.4249,m,l,12911,19136,18574,67.46969064,69.51114461,68.49041762
MGnS_Br.gtf,10867,4330,0.3985,0.3759,0.3872,m,l,12848,19633,18574,65.4408394,69.17196081,67.3064001
MGnS_Br_Fu.gtf,11022,4416,0.4007,0.3831,0.3919,m,l,12996,19590,18574,66.33996937,69.96877355,68.15437146
MGnS_Fu.gtf,11186,4772,0.4266,0.4145,0.4206,m,l,13093,19304,18574,67.82532118,70.49100894,69.15816506
MGS.gtf   ,9546,4860,0.5091,0.4256,0.4674,m,l,12918,18217,18574,70.91178569,69.5488317,70.2303087
MGS_Br.gtf,9325,4321,0.4634,0.3786,0.4210,m,l,12577,18469,18574,68.09789377,67.71293206,67.90541291
MGS_Br_Fu.gtf,9504,4416,0.4646,0.3868,0.4257,m,l,12818,18549,18574,69.10345571,69.01044471,69.05695021
MGS_Fu.gtf,9780,4907,0.5017,0.4296,0.4657,m,l,13130,18412,18574,71.3121877,70.69021212,71.00119991
pMGnS.gtf ,11174,6262,0.5604,0.5440,0.5522,p,l,13698,18079,18574,75.76746501,73.74825024,74.75785763
pMGnS_Br.gtf,11055,6103,0.5521,0.5303,0.5412,p,l,13528,17890,18574,75.6176635,72.83299235,74.22532793
pMGnS_Br_Fu.gtf,11187,6243,0.5581,0.5422,0.5502,p,l,13694,17981,18574,76.15816695,73.72671476,74.94244086
pMGnS_Fu.gtf,11401,6409,0.5621,0.5568,0.5595,p,l,13871,18256,18574,75.98049956,74.67965974,75.33007965
pMGS.gtf  ,9741,6261,0.6427,0.5483,0.5955,p,l,13453,17073,18574,78.79693083,72.42920211,75.61306647
pMGS_Br.gtf,9552,6095,0.6381,0.5338,0.5860,p,l,13217,16745,18574,78.93102419,71.15860881,75.0448165
pMGS_Br_Fu.gtf,9712,6242,0.6427,0.5466,0.5947,p,l,13441,16945,18574,79.32133373,72.36459567,75.8429647
pMGS_Fu.gtf,9973,6439,0.6456,0.5638,0.6047,p,l,13667,17249,18574,79.23357876,73.58135027,76.40746452
BAPplus.LoReAn_FGS.gtf,9705,5551,0.5720,0.4863,0.5292,f,p,12472,16904,18574,73.78135353,67.14762571,70.46448962
BAPplus.LoReAn_FGS_Br.gtf,9132,5177,0.5669,0.4535,0.5102,f,p,11958,16012,18574,74.68148888,64.38031657,69.53090273
BAPplus.LoReAn_FGS_Br_Fu.gtf,9319,5358,0.5750,0.4693,0.5222,f,p,12283,16221,18574,75.72282843,66.1300743,70.92645136
