pipeline,annot,masking,sens_intro,spe_intro,acc_intro
BAP+,BAP+-B,MG,63.68069959,61.16076236,62.42073097
other,GeneMark-ES,,64.25599818,60.70313341,62.47956579
BAP+,BAP+-BF,MG,65.0573058,63.26047163,64.15888871
other,Augustus,,66.10727029,63.83654571,64.971908
BAP,BAP,MG,64.25316196,67.55679983,65.9049809
BAP+,BAP+,MG,67.50351025,64.70873264,66.10612144
other,BRAKER,,70.80098583,61.86604932,66.33351757
LoReAn,LoReAn-B,MG,65.4408394,69.17196081,67.3064001
BAP,BAP-F,MG,65.71662488,69.14504146,67.43083317
other,MAKER2,,67.93938736,67.3468289,67.64310813
BAP+,BAP+-F,MG,68.52464439,66.91611931,67.72038185
LoReAn,LoReAn-sB,MG,68.09789377,67.71293206,67.90541291
LoReAn,LoReAn-BF,MG,66.33996937,69.96877355,68.15437146
other,GeneMark-ES-F,,70.02898221,66.34542909,68.18720565
LoReAn,LoReAn,MG,67.46969064,69.51114461,68.49041762
LoReAn,LoReAn-sBF,MG,69.10345571,69.01044471,69.05695021
LoReAn,LoReAn-F,MG,67.82532118,70.49100894,69.15816506
BAP+,BAP+-B,pMG,75.32043066,63.27662324,69.29852695
BAP,BAP,FG,69.58076048,69.16119307,69.37097677
BAP+,BAP+-B,FG,74.68148888,64.38031657,69.53090273
BAP,BAP,pMG,70.80235268,68.69818025,69.75026647
BAP,BAP-B,MG,69.20718816,70.49639281,69.85179048
LoReAn,LoReAn-s,MG,70.91178569,69.5488317,70.2303087
BAP,BAP-BF,MG,69.77864859,70.94325401,70.3609513
BAP+,BAP+,FG,73.78135353,67.14762571,70.46448962
BAP+,BAP+,pMG,75.79456044,65.86626467,70.83041255
BAP+,BAP+-BF,pMG,76.33065528,65.47324217,70.90194873
BAP+,BAP+-BF,FG,75.72282843,66.1300743,70.92645136
BAP,BAP-F,FG,71.30132522,70.67944438,70.9903848
LoReAn,LoReAn-sF,MG,71.3121877,70.69021212,71.00119991
BAP,BAP-F,pMG,72.43447357,70.22719931,71.33083644
BAP+,BAP+-F,FG,75.64110122,69.08043502,72.36076812
other,CodingQuarry,,80.02263347,64.71950038,72.37106692
BAP+,BAP+-F,pMG,76.90070879,68.34284484,72.62177681
LoReAn,LoReAn-B,FG,74.81509889,73.52212771,74.1686133
LoReAn,LoReAn,FG,73.77782511,74.58813395,74.18297953
LoReAn,LoReAn-B,pMG,75.6176635,72.83299235,74.22532793
LoReAn,LoReAn,pMG,75.76746501,73.74825024,74.75785763
LoReAn,LoReAn-sB,FG,77.94581338,71.86927964,74.90754651
LoReAn,LoReAn-BF,FG,75.49448148,74.38893076,74.94170612
LoReAn,LoReAn-BF,pMG,76.15816695,73.72671476,74.94244086
LoReAn,LoReAn-sB,pMG,78.93102419,71.15860881,75.0448165
LoReAn,LoReAn-s,FG,76.73673561,73.5059761,75.12135585
LoReAn,LoReAn-F,pMG,75.98049956,74.67965974,75.33007965
BAP,BAP-B,FG,78.84377394,72.03079574,75.43728484
LoReAn,LoReAn-F,FG,76.90419061,74.20049532,75.55234297
BAP,BAP-B,pMG,79.33761446,71.83697642,75.58729544
LoReAn,LoReAn-s,pMG,78.79693083,72.42920211,75.61306647
LoReAn,LoReAn-sBF,FG,78.56561665,72.77915366,75.67238515
LoReAn,LoReAn-sBF,pMG,79.32133373,72.36459567,75.8429647
BAP,BAP-BF,FG,78.45861194,73.27985356,75.86923275
reference,VDAG_Jr2_Annotation,,77.07411504,75.02422741,76.04917123
LoReAn,LoReAn-sF,FG,77.94558516,74.18972758,76.06765637
BAP,BAP-BF,pMG,79.93456276,72.34306019,76.13881148
LoReAn,LoReAn-sF,pMG,79.23357876,73.58135027,76.40746452
